Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,27,34,34,3060,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,24,33,33,2970,1,0,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches
Alberto Moreno\Alberto-Moreno,es ESP,DF,23,32,28,2548,1,4,0,0,3,0,0.04,0.14,0.18,0.04,0.18,Matches
Emre Can\Emre-Can,de GER,MFDF,21,30,28,2491,1,0,0,0,9,0,0.04,0.00,0.04,0.04,0.04,Matches
James Milner\James-Milner,eng ENG,MFFW,29,28,28,2409,5,11,1,1,10,1,0.19,0.41,0.60,0.15,0.56,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,23,26,24,1996,8,5,0,0,3,1,0.36,0.23,0.59,0.36,0.59,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FWMF,23,31,24,1972,10,7,0,0,1,0,0.46,0.32,0.78,0.46,0.78,Matches
Adam Lallana\Adam-Lallana,eng ENG,MFFW,27,30,23,2107,4,6,0,0,2,0,0.17,0.26,0.43,0.17,0.43,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,26,24,22,1896,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MFDF,28,27,21,1953,0,1,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches
Martin Škrtel\Martin-Skrtel,sk SVK,DF,30,22,21,1885,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,25,22,21,1854,1,0,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,25,17,15,1290,2,3,0,0,1,0,0.14,0.21,0.35,0.14,0.35,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,24,29,14,1529,9,3,1,1,2,0,0.53,0.18,0.71,0.47,0.65,Matches
Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,19,27,12,1178,1,2,0,0,0,0,0.08,0.15,0.23,0.08,0.23,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FW,25,14,11,978,8,1,0,0,0,0,0.74,0.09,0.83,0.74,0.83,Matches
Kolo Touré\Kolo-Toure,ci CIV,DF,34,14,9,858,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
Joe Allen\Joe-Allen,wal WAL,MF,25,19,8,735,2,1,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches
Divock Origi\Divock-Origi,be BEL,FW,20,16,7,670,5,1,0,0,0,0,0.67,0.13,0.81,0.67,0.81,Matches
Kevin Stewart\Kevin-Stewart,eng ENG,MF,21,7,6,565,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Gomez\Joe-Gomez,eng ENG,DFMF,18,5,5,437,0,1,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches
Jon Flanagan\Jon-Flanagan,eng ENG,DF,22,5,5,420,0,1,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Sheyi Ojo\Sheyi-Ojo,eng ENG,MFFW,18,8,5,397,0,3,0,0,0,0,0.00,0.68,0.68,0.00,0.68,Matches
Danny Ings\Danny-Ings,eng ENG,FW,23,6,3,340,2,0,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches
Brad Smith\Brad-Smith,au AUS,DF,21,4,3,286,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Ádám Bogdán\Adam-Bogdan,hu HUN,GK,27,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Danny Ward\Danny-Ward,wal WAL,GK,22,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Connor Randall\Connor-Randall,eng ENG,DF,19,3,2,163,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cameron Brannagan\Cameron-Brannagan,eng ENG,MF,19,3,1,114,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Chirivella\Pedro-Chirivella,es ESP,MF,18,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Rossiter\Jordan-Rossiter,eng ENG,MF,18,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergi Canós\Sergi-Canos,es ESP,FWMF,18,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Steven Caulker\Steven-Caulker,eng ENG,DF,23,3,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
João Carlos Teixeira\Joao-Carlos-Teixeira,pt POR,MF,22,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Fulton\Ryan-Fulton,sco SCO,GK,19,0,0,,,,,,,,,,,,,Matches
Tiago Ilori\Tiago-Ilori,pt POR,DF,22,0,0,,,,,,,,,,,,,Matches
Jerome Sinclair\Jerome-Sinclair,eng ENG,FW,18,0,0,,,,,,,,,,,,,Matches
