Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,25,38,38,3420,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Škrtel\Martin-Skrtel,sk SVK,DF,28,36,36,3221,7,1,0,0,6,0,0.20,0.03,0.22,0.20,0.22,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,23,35,35,3128,4,7,0,0,4,1,0.12,0.20,0.32,0.12,0.32,Matches
Luis Suárez\Luis-Suarez,uy URU,FW,26,33,33,2962,31,12,0,0,6,0,0.94,0.36,1.31,0.94,1.31,Matches
Steven Gerrard\Steven-Gerrard,eng ENG,MF,33,34,33,2895,13,14,10,11,7,0,0.40,0.44,0.84,0.09,0.53,Matches
Glen Johnson\Glen-Johnson,eng ENG,DF,28,29,29,2517,0,2,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,21,33,28,2325,5,7,0,0,1,0,0.19,0.27,0.46,0.19,0.46,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,23,29,26,2267,22,6,0,1,2,0,0.87,0.24,1.11,0.87,1.11,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,18,33,24,2218,9,5,0,0,3,0,0.37,0.20,0.57,0.37,0.57,Matches
Jon Flanagan\Jon-Flanagan,eng ENG,DF,20,23,23,1891,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MF,26,27,20,1871,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,23,18,17,1478,1,0,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches
Daniel Agger\Daniel-Agger,dk DEN,DF,28,20,16,1421,2,1,0,0,0,0,0.13,0.06,0.19,0.13,0.19,Matches
Joe Allen\Joe-Allen,wal WAL,MF,23,24,15,1443,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
Kolo Touré\Kolo-Toure,ci CIV,DF,32,20,15,1443,0,2,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches
Aly Cissokho\Aly-Cissokho,fr FRA,DF,25,15,12,1090,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Victor Moses\Victor-Moses,ng NGA,DFFW,22,19,6,652,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
José Enrique\Jose-Enrique,es ESP,DF,27,8,6,604,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
Iago Aspas\Iago-Aspas,es ESP,FWMF,25,14,5,383,0,1,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Matches
Andre Wisdom\Andre-Wisdom,eng ENG,DF,20,2,1,80,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Alberto\Luis-Alberto,es ESP,FWMF,20,9,0,144,0,1,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches
Martin Kelly\Martin-Kelly,eng ENG,DFMF,23,5,0,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Brad Smith\Brad-Smith,au AUS,DFMF,19,1,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordon Ibe\Jordon-Ibe,eng ENG,FWMF,17,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
João Carlos Teixeira\Joao-Carlos-Teixeira,pt POR,MF,20,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
