Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Alisson\Alisson,br BRA,GK,25,38,38,3420,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,27,38,38,3384,4,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.2,3.2,1.1,0.08,0.03,0.11,0.08,0.11,Matches
Mohamed Salah\Mohamed-Salah,eg EGY,FW,26,38,37,3250,22,8,3,3,1,0,0.61,0.22,0.83,0.53,0.75,19.0,16.8,9.1,0.53,0.25,0.78,0.46,0.72,Matches
Andrew Robertson\Andrew-Robertson,sco SCO,DF,24,36,36,3216,0,11,0,0,4,0,0.00,0.31,0.31,0.00,0.31,0.9,0.9,6.8,0.03,0.19,0.22,0.03,0.22,Matches
Sadio Mané\Sadio-Mane,sn SEN,FW,26,36,35,3077,22,1,0,0,2,0,0.64,0.03,0.67,0.64,0.67,16.1,16.1,4.4,0.47,0.13,0.60,0.47,0.60,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,27,35,32,2725,3,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.5,2.5,1.2,0.08,0.04,0.12,0.08,0.12,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FWMF,26,34,31,2607,12,6,1,1,0,0,0.41,0.21,0.62,0.38,0.59,13.3,12.5,5.6,0.46,0.19,0.65,0.43,0.63,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,19,29,27,2462,1,12,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.2,0.05,0.23,0.28,0.05,0.28,Matches
Fabinho\Fabinho,br BRA,MF,24,28,21,2017,1,2,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1.0,1.0,1.3,0.04,0.06,0.10,0.04,0.10,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,28,32,21,1987,1,3,0,0,2,1,0.05,0.14,0.18,0.05,0.18,1.7,1.7,1.5,0.08,0.07,0.15,0.08,0.15,Matches
James Milner\James-Milner,eng ENG,MFDF,32,31,19,1789,5,4,3,3,6,1,0.25,0.20,0.45,0.10,0.30,3.9,1.7,4.8,0.20,0.24,0.44,0.08,0.33,Matches
Joël Matip\Joel-Matip,cm CMR,DF,26,22,17,1537,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.1,0.03,0.00,0.04,0.03,0.04,Matches
Naby Keïta\Naby-Keita,gn GUI,MF,23,25,16,1390,2,1,0,0,0,0,0.13,0.06,0.19,0.13,0.19,2.1,2.1,1.1,0.14,0.07,0.21,0.14,0.21,Matches
Joe Gomez\Joe-Gomez,eng ENG,DF,21,16,12,1063,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.03,0.05,0.02,0.05,Matches
Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FWMF,26,24,11,1064,6,3,0,0,2,0,0.51,0.25,0.76,0.51,0.76,3.7,3.7,1.9,0.32,0.16,0.47,0.32,0.47,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,29,13,11,986,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.2,0.07,0.02,0.09,0.07,0.09,Matches
Adam Lallana\Adam-Lallana,eng ENG,MFFW,30,13,5,468,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.07,0.10,0.17,0.07,0.17,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,28,18,4,509,2,1,0,0,1,0,0.35,0.18,0.53,0.35,0.53,1.2,1.2,1.2,0.21,0.21,0.42,0.21,0.42,Matches
Divock Origi\Divock-Origi,be BEL,FW,23,12,4,371,3,1,0,0,0,0,0.73,0.24,0.97,0.73,0.97,2.1,2.1,0.2,0.51,0.04,0.54,0.51,0.54,Matches
Alberto Moreno\Alberto-Moreno,es ESP,DF,26,2,2,154,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.12,0.13,0.01,0.13,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,27,4,1,111,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,24,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,1.29,0.10,1.38,1.29,1.38,Matches
Rafael Camacho\Rafael-Camacho,pt POR,DF,18,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Curtis Jones\Curtis-Jones,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Loris Karius\Loris-Karius,de GER,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,Matches
