Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Robin van Persie\Robin-van-Persie,nl NED,FW,28,38,35,3123,26,9,3,4,6,0,0.75,0.26,1.01,0.66,0.92,Matches
Patrice Evra\Patrice-Evra,fr FRA,DF,31,34,34,3060,4,5,0,0,3,0,0.12,0.15,0.26,0.12,0.26,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,31,36,34,3044,1,4,0,0,3,0,0.03,0.12,0.15,0.03,0.15,Matches
David de Gea\David-de-Gea,es ESP,GK,21,28,28,2520,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rafael\Rafael,br BRA,DFMF,22,28,27,2313,3,3,0,0,6,1,0.12,0.12,0.23,0.12,0.23,Matches
Rio Ferdinand\Rio-Ferdinand,eng ENG,DF,33,28,26,2321,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,26,30,24,2207,1,5,0,0,6,0,0.04,0.20,0.24,0.04,0.24,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,FWMF,26,27,22,2014,12,10,1,2,7,0,0.54,0.45,0.98,0.49,0.94,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,24,23,21,1902,3,1,0,0,2,0,0.14,0.05,0.19,0.14,0.19,Matches
Nemanja Vidić\Nemanja-Vidic,rs SRB,DF,30,19,18,1617,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,22,22,18,1445,2,2,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
Ashley Young\Ashley-Young,eng ENG,DFFW,27,19,17,1368,0,3,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
Shinji Kagawa\Shinji-Kagawa,jp JPN,FWMF,23,20,17,1314,6,3,0,0,1,0,0.41,0.21,0.62,0.41,0.62,Matches
Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,21,27,13,1301,1,4,0,0,1,0,0.07,0.28,0.35,0.07,0.35,Matches
Phil Jones\Phil-Jones,eng ENG,DFMF,20,17,13,1209,0,1,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
Ryan Giggs\Ryan-Giggs,wal WAL,FWMF,38,22,12,1168,2,3,0,0,0,0,0.15,0.23,0.39,0.15,0.39,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,22,15,10,1020,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Anders Lindegaard\Anders-Lindegaard,dk DEN,GK,28,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Javier Hernández\Javier-Hernandez,mx MEX,FW,24,22,9,952,10,3,0,1,1,0,0.95,0.28,1.23,0.95,1.23,Matches
Anderson\Anderson,br BRA,MF,24,17,9,824,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
Paul Scholes\Paul-Scholes,eng ENG,MF,37,15,8,749,1,1,0,0,6,0,0.12,0.12,0.24,0.12,0.24,Matches
Nani\Nani,pt POR,FWMF,25,11,7,630,1,2,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches
Alexander Büttner\Alexander-Buttner,nl NED,DF,23,5,4,383,2,1,0,0,1,0,0.47,0.23,0.70,0.47,0.70,Matches
Darren Fletcher\Darren-Fletcher,sco SCO,MF,28,3,2,181,1,0,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Nick Powell\Nick-Powell,eng ENG,MF,18,2,0,32,1,0,0,0,0,0,2.81,0.00,2.81,2.81,2.81,Matches
