Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,25,36,33,2877,6,17,0,1,4,0,0.19,0.53,0.72,0.19,0.72,Matches
David Silva\David-Silva,es ESP,MF,30,34,31,2759,4,7,0,0,6,0,0.13,0.23,0.36,0.13,0.36,Matches
Fernandinho\Fernandinho,br BRA,MFDF,31,32,31,2756,2,1,0,0,4,2,0.07,0.03,0.10,0.07,0.10,Matches
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,28,30,29,2592,1,0,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,MFFW,21,33,29,2508,7,8,0,0,7,0,0.25,0.29,0.54,0.25,0.54,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,30,29,27,2535,1,2,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,28,31,25,2403,20,4,4,5,4,1,0.75,0.15,0.90,0.60,0.75,Matches
Gaël Clichy\Gael-Clichy,fr FRA,DF,31,25,24,2123,1,0,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
John Stones\John-Stones,eng ENG,DF,22,27,23,2014,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,33,22,22,1968,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yaya Touré\Yaya-Toure,ci CIV,MF,33,25,22,1941,5,0,2,2,4,0,0.23,0.00,0.23,0.14,0.14,Matches
Leroy Sané\Leroy-Sane,de GER,MFFW,20,26,20,1781,5,2,0,0,4,0,0.25,0.10,0.35,0.25,0.35,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,34,17,16,1452,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bacary Sagna\Bacary-Sagna,fr FRA,DF,33,17,14,1346,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
Jesús Navas\Jesus-Navas,es ESP,MFDF,30,24,12,1064,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,31,19,11,1036,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,Matches
Vincent Kompany\Vincent-Kompany,be BEL,DF,30,11,10,820,3,0,0,0,5,0,0.33,0.00,0.33,0.33,0.33,Matches
Nolito\Nolito,es ESP,MFFW,29,19,9,778,4,2,0,0,3,1,0.46,0.23,0.69,0.46,0.69,Matches
İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,25,10,9,704,3,1,0,0,0,0,0.38,0.13,0.51,0.38,0.51,Matches
Gabriel Jesus\Gabriel-Jesus,br BRA,FWMF,19,10,8,650,7,4,1,1,2,0,0.97,0.55,1.52,0.83,1.38,Matches
Fernando\Fernando,br BRA,MFDF,29,15,5,568,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,19,20,5,537,4,3,0,0,0,0,0.67,0.50,1.17,0.67,1.17,Matches
Fabian Delph\Fabian-Delph,eng ENG,MF,26,7,2,224,1,0,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches
Aleix García\Aleix-Garcia,es ESP,MF,19,4,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Samir Nasri\Samir-Nasri,fr FRA,FWMF,29,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,18,0,0,,,,,,,,,,,,,Matches
Angus Gunn\Angus-Gunn,eng ENG,GK,20,0,0,,,,,,,,,,,,,Matches
Joe Hart\Joe-Hart,eng ENG,GK,29,0,0,,,,,,,,,,,,,Matches
Pablo Maffeo\Pablo-Maffeo,es ESP,DFMF,19,0,0,,,,,,,,,,,,,Matches
