Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mohamed Salah\Mohamed-Salah,eg EGY,FWMF,25,36,34,2907,32,10,1,2,1,0,0.99,0.31,1.30,0.96,1.27,22.2,20.7,8.3,0.68,0.26,0.94,0.64,0.89,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FW,25,37,32,2763,15,7,1,1,1,0,0.49,0.23,0.72,0.46,0.68,11.0,10.3,5.4,0.36,0.17,0.53,0.33,0.51,Matches
Sadio Mané\Sadio-Mane,sn SEN,FWMF,25,29,28,2190,10,7,0,0,3,1,0.41,0.29,0.70,0.41,0.70,10.6,10.6,4.9,0.43,0.20,0.63,0.43,0.63,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,26,33,27,2387,1,2,0,0,1,0,0.04,0.08,0.11,0.04,0.11,2.4,2.4,1.3,0.09,0.05,0.14,0.09,0.14,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,27,27,25,2171,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,1.2,1.1,2.0,0.05,0.08,0.13,0.05,0.13,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,28,29,24,2127,2,1,0,0,4,0,0.08,0.04,0.13,0.08,0.13,1.7,1.7,1.4,0.07,0.06,0.13,0.07,0.13,Matches
Emre Can\Emre-Can,de GER,MF,23,26,24,2091,3,4,0,0,8,0,0.13,0.17,0.30,0.13,0.30,1.7,1.7,2.7,0.07,0.12,0.19,0.07,0.19,Matches
Joël Matip\Joel-Matip,cm CMR,DF,25,25,22,1997,1,0,0,0,3,0,0.05,0.00,0.05,0.05,0.05,2.2,2.2,0.4,0.10,0.02,0.12,0.10,0.12,Matches
Andrew Robertson\Andrew-Robertson,sco SCO,DF,23,22,22,1940,1,5,0,0,2,0,0.05,0.23,0.28,0.05,0.28,0.7,0.7,3.1,0.03,0.14,0.17,0.03,0.17,Matches
Joe Gomez\Joe-Gomez,eng ENG,DF,20,23,21,1902,0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.3,0.01,0.06,0.07,0.01,0.07,Matches
Loris Karius\Loris-Karius,de GER,GK,24,19,19,1710,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,29,19,19,1710,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,18,19,18,1573,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.0,1.0,2.1,0.06,0.12,0.18,0.06,0.18,Matches
James Milner\James-Milner,eng ENG,MF,31,32,16,1775,0,3,0,0,3,0,0.00,0.15,0.15,0.00,0.15,1.7,1.7,3.5,0.09,0.18,0.26,0.09,0.26,Matches
Ragnar Klavan\Ragnar-Klavan,ee EST,DF,31,19,16,1451,1,0,0,0,0,0,0.06,0.00,0.06,0.06,0.06,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,23,32,14,1493,3,7,0,0,3,0,0.18,0.42,0.60,0.18,0.60,2.0,2.0,3.5,0.12,0.21,0.34,0.12,0.34,Matches
Alberto Moreno\Alberto-Moreno,es ESP,DF,25,16,14,1266,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,0.04,0.06,0.09,0.04,0.09,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,26,14,14,1260,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.6,0.10,0.04,0.14,0.10,0.14,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,25,14,13,1109,7,6,0,0,0,0,0.57,0.49,1.06,0.57,1.06,2.6,2.6,4.2,0.21,0.34,0.55,0.21,0.55,Matches
Dominic Solanke\Dominic-Solanke,eng ENG,FW,19,21,5,596,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,2.9,2.9,2.0,0.45,0.31,0.76,0.45,0.76,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FW,27,9,5,431,2,1,0,0,0,0,0.42,0.21,0.63,0.42,0.63,2.5,2.5,0.9,0.51,0.20,0.71,0.51,0.71,Matches
Danny Ings\Danny-Ings,eng ENG,FW,25,8,3,267,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,1.8,1.8,0.2,0.59,0.08,0.68,0.59,0.68,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DFMF,26,3,2,174,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.14,0.14,0.00,0.14,Matches
Adam Lallana\Adam-Lallana,eng ENG,MFFW,29,12,1,308,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,0.53,0.16,0.69,0.53,0.69,Matches
Marko Grujić\Marko-Grujic,rs SRB,MF,21,3,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.12,0.12,0.00,0.12,Matches
Divock Origi\Divock-Origi,be BEL,FW,22,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ben Woodburn\Ben-Woodburn,wal WAL,MF,17,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rafael Camacho\Rafael-Camacho,pt POR,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jon Flanagan\Jon-Flanagan,eng ENG,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Curtis Jones\Curtis-Jones,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Conor Masterson\Conor-Masterson,ie IRL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Danny Ward\Danny-Ward,wal WAL,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches
