Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,25,37,37,3323,0,2,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches
James Milner\James-Milner,eng ENG,DF,30,36,36,3154,7,3,7,8,5,0,0.20,0.09,0.29,0.00,0.09,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FW,24,35,34,3062,11,7,0,0,5,0,0.32,0.21,0.53,0.32,0.53,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,25,36,33,2972,6,8,0,0,2,0,0.18,0.24,0.42,0.18,0.42,Matches
Dejan Lovren\Dejan-Lovren,hr CRO,DF,27,29,29,2553,2,1,0,0,6,0,0.07,0.04,0.11,0.07,0.11,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,28,28,28,2520,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,24,31,28,2227,13,8,0,0,2,0,0.53,0.32,0.85,0.53,0.85,Matches
Joël Matip\Joel-Matip,cm CMR,DF,24,29,27,2457,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches
Adam Lallana\Adam-Lallana,eng ENG,MFFW,28,31,27,2348,8,6,0,0,3,0,0.31,0.23,0.54,0.31,0.54,Matches
Emre Can\Emre-Can,de GER,MF,22,32,26,2371,5,2,0,0,6,0,0.19,0.08,0.27,0.19,0.27,Matches
Sadio Mané\Sadio-Mane,sn SEN,FW,24,27,26,2235,13,5,0,0,4,0,0.52,0.20,0.72,0.52,0.72,Matches
Jordan Henderson\Jordan-Henderson,eng ENG,MF,26,24,24,2116,1,4,0,0,8,0,0.04,0.17,0.21,0.04,0.21,Matches
Ragnar Klavan\Ragnar-Klavan,ee EST,DF,30,20,15,1410,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Divock Origi\Divock-Origi,be BEL,FW,21,34,14,1468,7,3,0,0,0,0,0.43,0.18,0.61,0.43,0.61,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MFDF,29,24,12,1112,0,2,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches
Loris Karius\Loris-Karius,de GER,GK,23,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FW,26,20,7,775,3,1,0,0,1,0,0.35,0.12,0.46,0.35,0.46,Matches
Alberto Moreno\Alberto-Moreno,es ESP,DF,24,12,2,305,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,17,7,2,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ben Woodburn\Ben-Woodburn,wal WAL,FW,16,5,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Grujić\Marko-Grujic,rs SRB,MF,20,5,0,43,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Stewart\Kevin-Stewart,eng ENG,DFMF,22,4,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ovie Ejaria\Ovie-Ejaria,eng ENG,MF,18,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rhian Brewster\Rhian-Brewster,eng ENG,FW,16,0,0,,,,,,,,,,,,,Matches
Joe Gomez\Joe-Gomez,eng ENG,DF,19,0,0,,,,,,,,,,,,,Matches
Alex Manninger\Alex-Manninger,at AUT,GK,39,0,0,,,,,,,,,,,,,Matches
Connor Randall\Connor-Randall,eng ENG,DF,20,0,0,,,,,,,,,,,,,Matches
Harry Wilson\Harry-Wilson,wal WAL,FWMF,19,0,0,,,,,,,,,,,,,Matches
