Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ederson\Ederson,br BRA,GK,25,35,35,3071,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,28,35,32,2791,13,20,2,2,3,0,0.42,0.64,1.06,0.35,1.00,7.6,6.1,18.4,0.24,0.59,0.84,0.20,0.79,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,FW,24,33,30,2651,20,1,0,2,5,0,0.68,0.03,0.71,0.68,0.71,17.1,15.1,7.0,0.58,0.24,0.82,0.51,0.75,Matches
Rodri\Rodri,es ESP,MF,23,35,29,2486,3,2,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1.0,1.0,1.5,0.04,0.06,0.09,0.04,0.09,Matches
Kyle Walker\Kyle-Walker,eng ENG,DF,29,29,28,2392,1,4,0,0,5,0,0.04,0.15,0.19,0.04,0.19,1.0,1.0,2.1,0.04,0.08,0.12,0.04,0.12,Matches
Fernandinho\Fernandinho,br BRA,DF,34,30,26,2397,0,1,0,0,9,2,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.5,0.04,0.02,0.06,0.04,0.06,Matches
Bernardo Silva\Bernardo-Silva,pt POR,FWMF,24,34,23,2030,6,7,0,0,5,0,0.27,0.31,0.58,0.27,0.58,6.7,6.7,5.4,0.30,0.24,0.54,0.30,0.54,Matches
David Silva\David-Silva,es ESP,MF,33,27,22,1826,6,10,0,0,0,0,0.30,0.49,0.79,0.30,0.79,6.3,6.3,5.4,0.31,0.26,0.58,0.31,0.58,Matches
Gabriel Jesus\Gabriel-Jesus,br BRA,FW,22,34,21,2030,14,7,0,1,3,0,0.62,0.31,0.93,0.62,0.93,18.5,17.7,3.8,0.82,0.17,0.99,0.79,0.95,Matches
İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,28,31,21,2020,2,1,1,2,7,0,0.09,0.04,0.13,0.04,0.09,4.4,2.9,2.7,0.20,0.12,0.32,0.13,0.25,Matches
Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,28,33,21,1944,11,9,1,1,0,0,0.51,0.42,0.93,0.46,0.88,7.2,6.4,8.8,0.33,0.41,0.74,0.30,0.71,Matches
Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,31,24,18,1715,2,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,2.4,2.4,0.2,0.12,0.01,0.13,0.12,0.13,Matches
Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,25,19,18,1492,0,2,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,1.3,0.02,0.08,0.10,0.02,0.10,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,31,24,18,1452,16,3,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.0,11.8,2.4,0.87,0.15,1.02,0.73,0.88,Matches
Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,25,15,14,1097,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.1,0.03,0.01,0.03,0.03,0.03,Matches
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,22,19,13,1276,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,0.03,0.12,0.15,0.03,0.15,Matches
João Cancelo\Joao-Cancelo,pt POR,DF,25,17,13,1208,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,0.04,0.13,0.17,0.04,0.17,Matches
John Stones\John-Stones,eng ENG,DF,25,16,12,1122,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.05,0.01,0.06,0.05,0.06,Matches
Phil Foden\Phil-Foden,eng ENG,FWMF,19,23,9,901,5,2,0,0,0,0,0.50,0.20,0.70,0.50,0.70,4.3,4.3,2.0,0.43,0.20,0.63,0.43,0.63,Matches
Eric García\Eric-Garcia,es ESP,DF,18,13,8,793,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.06,0.02,0.08,0.06,0.08,Matches
Angeliño\Angelino,es ESP,DF,22,6,4,423,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.04,0.26,0.31,0.04,0.31,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,36,4,3,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,17,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.42,0.00,0.42,0.42,0.42,Matches
Leroy Sané\Leroy-Sane,de GER,FW,23,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.76,0.00,0.76,0.76,0.76,Matches
Scott Carson\Scott-Carson,eng ENG,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Taylor Harwood-Bellis\Taylor-Harwood-Bellis,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Cole Palmer\Cole-Palmer,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
