Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrice Evra\Patrice-Evra,fr FRA,DF,30,37,37,3234,0,4,0,0,6,0,0.00,0.11,0.11,0.00,0.11,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,FWMF,25,34,32,2830,27,5,6,8,1,0,0.86,0.16,1.02,0.67,0.83,Matches
David de Gea\David-de-Gea,es ESP,GK,20,29,29,2610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rio Ferdinand\Rio-Ferdinand,eng ENG,DF,32,30,29,2562,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,23,29,28,2424,1,2,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,30,30,27,2501,2,3,0,0,4,0,0.07,0.11,0.18,0.07,0.18,Matches
Phil Jones\Phil-Jones,eng ENG,DFMF,19,29,25,2125,1,2,0,0,6,0,0.04,0.08,0.13,0.04,0.13,Matches
Nani\Nani,pt POR,FWMF,24,29,24,2104,8,10,0,0,2,0,0.34,0.43,0.77,0.34,0.77,Matches
Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,20,30,23,2012,9,4,0,0,3,0,0.40,0.18,0.58,0.40,0.58,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,25,27,22,2124,4,13,0,0,3,0,0.17,0.55,0.72,0.17,0.72,Matches
Ashley Young\Ashley-Young,eng ENG,DFFW,26,25,19,1565,6,7,0,0,3,0,0.35,0.40,0.75,0.35,0.75,Matches
Javier Hernández\Javier-Hernandez,mx MEX,FW,23,28,18,1477,10,2,1,1,0,0,0.61,0.12,0.73,0.55,0.67,Matches
Ryan Giggs\Ryan-Giggs,wal WAL,FWMF,37,25,14,1478,2,9,0,0,2,0,0.12,0.55,0.67,0.12,0.67,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,21,19,14,1297,1,0,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Paul Scholes\Paul-Scholes,eng ENG,MF,36,17,14,1163,4,0,0,0,3,0,0.31,0.00,0.31,0.31,0.31,Matches
Park Ji-sung\Park-Ji-sung,kr KOR,MF,30,17,10,932,2,1,0,0,0,0,0.19,0.10,0.29,0.19,0.29,Matches
Rafael\Rafael,br BRA,DFMF,21,12,10,911,0,3,0,0,2,0,0.00,0.30,0.30,0.00,0.30,Matches
Anders Lindegaard\Anders-Lindegaard,dk DEN,GK,27,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anderson\Anderson,br BRA,MF,23,10,8,690,2,1,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
Darren Fletcher\Darren-Fletcher,sco SCO,MF,27,8,7,644,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
Nemanja Vidić\Nemanja-Vidic,rs SRB,DF,29,6,6,501,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dimitar Berbatov\Dimitar-Berbatov,bg BUL,FW,30,12,5,521,7,0,2,2,0,0,1.21,0.00,1.21,0.86,0.86,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,21,10,5,450,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
Fábio\Fabio,br BRA,DF,21,5,2,248,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ben Amos\Ben-Amos,eng ENG,GK,21,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Darron Gibson\Darron-Gibson,ie IRL,MF,23,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
Michael Owen\Michael-Owen,eng ENG,FW,31,1,0,80,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Paul Pogba\Paul-Pogba,fr FRA,MF,18,3,0,71,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Zeki Fryers\Zeki-Fryers,eng ENG,DF,18,2,0,69,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Federico Macheda\Federico-Macheda,it ITA,FW,19,3,0,48,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Will Keane\Will-Keane,eng ENG,FW,18,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
