Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
David de Gea\David-de-Gea,es ESP,GK,22,37,37,3330,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrice Evra\Patrice-Evra,fr FRA,DF,32,33,33,2880,1,3,0,0,2,0,0.03,0.09,0.12,0.03,0.12,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,FWMF,27,29,27,2446,17,10,3,3,8,0,0.63,0.37,0.99,0.52,0.88,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,32,29,26,2413,1,0,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches
Phil Jones\Phil-Jones,eng ENG,DFMF,21,26,26,2172,1,2,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches
Nemanja Vidić\Nemanja-Vidic,rs SRB,DF,31,25,23,2085,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,23,25,21,1939,1,0,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,27,29,20,1948,2,2,0,0,7,1,0.09,0.09,0.18,0.09,0.18,Matches
Robin van Persie\Robin-van-Persie,nl NED,FW,29,21,18,1579,12,3,2,2,2,0,0.68,0.17,0.85,0.57,0.74,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,23,22,18,1577,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Rafael\Rafael,br BRA,DFMF,23,19,18,1413,0,1,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,25,17,17,1375,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,18,27,15,1644,4,3,0,0,7,0,0.22,0.16,0.38,0.22,0.38,Matches
Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,22,25,15,1460,9,1,0,0,2,0,0.55,0.06,0.62,0.55,0.62,Matches
Juan Mata\Juan-Mata,es ESP,FWMF,25,15,14,1225,6,4,0,0,0,0,0.44,0.29,0.73,0.44,0.73,Matches
Shinji Kagawa\Shinji-Kagawa,jp JPN,FWMF,24,18,14,1165,0,3,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
Ashley Young\Ashley-Young,eng ENG,DFFW,28,20,13,1029,2,1,0,0,4,0,0.17,0.09,0.26,0.17,0.26,Matches
Rio Ferdinand\Rio-Ferdinand,eng ENG,DF,34,14,12,1129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marouane Fellaini\Marouane-Fellaini,be BEL,MF,25,16,12,1104,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
Darren Fletcher\Darren-Fletcher,sco SCO,MF,29,12,9,780,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nani\Nani,pt POR,FWMF,26,11,7,558,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Javier Hernández\Javier-Hernandez,mx MEX,FW,25,24,6,854,4,3,0,0,2,0,0.42,0.32,0.74,0.42,0.74,Matches
Ryan Giggs\Ryan-Giggs,wal WAL,FWMF,39,12,6,505,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Büttner\Alexander-Buttner,nl NED,DF,24,8,5,500,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Anderson\Anderson,br BRA,MF,25,4,2,155,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fábio\Fabio,br BRA,DF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anders Lindegaard\Anders-Lindegaard,dk DEN,GK,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tom Lawrence\Tom-Lawrence,wal WAL,FWMF,19,1,1,69,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
James Wilson\James-Wilson,eng ENG,FW,17,1,1,63,2,0,0,0,0,0,2.86,0.00,2.86,2.86,2.86,Matches
Wilfried Zaha\Wilfried-Zaha,ci CIV,FWMF,20,2,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
