Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joe Hart\Joe-Hart,eng ENG,GK,27,36,36,3240,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
David Silva\David-Silva,es ESP,FWMF,28,32,32,2646,12,7,0,0,8,0,0.41,0.24,0.65,0.41,0.65,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,26,33,30,2531,26,8,5,6,4,0,0.92,0.28,1.21,0.75,1.03,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,29,29,29,2586,1,4,0,0,7,1,0.03,0.14,0.17,0.03,0.17,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DFMF,33,31,28,2562,1,0,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
Yaya Touré\Yaya-Toure,ci CIV,MF,31,29,27,2353,10,2,2,2,5,0,0.38,0.08,0.46,0.31,0.38,Matches
Fernandinho\Fernandinho,br BRA,DFMF,29,33,25,2267,3,3,0,0,7,0,0.12,0.12,0.24,0.12,0.24,Matches
Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,23,25,24,2189,0,2,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches
Jesús Navas\Jesus-Navas,es ESP,DFMF,28,35,23,2254,0,8,0,0,3,0,0.00,0.32,0.32,0.00,0.32,Matches
Gaël Clichy\Gael-Clichy,fr FRA,DF,29,23,23,2057,1,3,0,0,1,0,0.04,0.13,0.18,0.04,0.18,Matches
Vincent Kompany\Vincent-Kompany,be BEL,DF,28,25,23,2034,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
Fernando\Fernando,br BRA,MF,27,25,22,1879,2,2,0,0,6,0,0.10,0.10,0.19,0.10,0.19,Matches
James Milner\James-Milner,eng ENG,DFMF,28,32,18,1749,5,7,0,0,6,0,0.26,0.36,0.62,0.26,0.62,Matches
Samir Nasri\Samir-Nasri,fr FRA,FWMF,27,24,18,1569,2,5,0,0,5,0,0.11,0.29,0.40,0.11,0.40,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,28,21,16,1489,2,3,0,0,4,0,0.12,0.18,0.30,0.12,0.30,Matches
Edin Džeko\Edin-Dzeko,ba BIH,FW,28,22,11,932,4,2,0,0,1,0,0.39,0.19,0.58,0.39,0.58,Matches
Frank Lampard\Frank-Lampard,eng ENG,MF,36,32,10,1002,6,1,0,0,1,0,0.54,0.09,0.63,0.54,0.63,Matches
Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,24,17,9,784,5,3,0,0,0,0,0.57,0.34,0.92,0.57,0.92,Matches
Bacary Sagna\Bacary-Sagna,fr FRA,DF,31,9,8,741,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Wilfried Bony\Wilfried-Bony,ci CIV,FW,25,10,2,302,2,1,0,0,1,0,0.60,0.30,0.89,0.60,0.89,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,32,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
José Pozo\Jose-Pozo,es ESP,FWMF,18,3,1,137,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dedryck Boyata\Dedryck-Boyata,be BEL,DF,23,2,1,92,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Scott Sinclair\Scott-Sinclair,eng ENG,FWMF,25,2,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Thierry Ambrose\Thierry-Ambrose,fr FRA,FWMF,17,0,0,,,,,,,,,,,,,Matches
Angeliño\Angelino,es ESP,DFMF,17,0,0,,,,,,,,,,,,,Matches
