Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yaya Touré\Yaya-Toure,ci CIV,MF,30,35,35,2917,20,9,6,6,4,0,0.62,0.28,0.89,0.43,0.71,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,28,35,34,3080,1,5,0,0,11,0,0.03,0.15,0.18,0.03,0.18,Matches
Joe Hart\Joe-Hart,eng ENG,GK,26,31,31,2790,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Fernandinho\Fernandinho,br BRA,DFMF,28,33,29,2608,5,3,0,0,8,0,0.17,0.10,0.28,0.17,0.28,Matches
Samir Nasri\Samir-Nasri,fr FRA,FWMF,26,34,29,2487,7,7,0,0,3,0,0.25,0.25,0.51,0.25,0.51,Matches
Vincent Kompany\Vincent-Kompany,be BEL,DF,27,28,28,2363,4,1,0,0,6,1,0.15,0.04,0.19,0.15,0.19,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DFMF,32,27,27,2430,2,1,0,0,6,0,0.07,0.04,0.11,0.07,0.11,Matches
David Silva\David-Silva,es ESP,FWMF,27,27,26,2161,7,9,0,0,5,0,0.29,0.37,0.67,0.29,0.67,Matches
Edin Džeko\Edin-Dzeko,ba BIH,FW,27,31,23,1986,16,1,0,0,4,0,0.73,0.05,0.77,0.73,0.77,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,27,30,21,1977,1,7,0,0,2,0,0.05,0.32,0.36,0.05,0.36,Matches
Álvaro Negredo\Alvaro-Negredo,es ESP,FW,27,32,21,1723,9,3,0,0,1,0,0.47,0.16,0.63,0.47,0.63,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,25,23,20,1528,17,6,0,1,4,0,1.00,0.35,1.35,1.00,1.35,Matches
Jesús Navas\Jesus-Navas,es ESP,DFMF,27,29,18,1750,4,6,0,0,0,0,0.21,0.31,0.51,0.21,0.51,Matches
Gaël Clichy\Gael-Clichy,fr FRA,DF,28,20,18,1662,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Javi García\Javi-Garcia,es ESP,DFMF,26,29,14,1545,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
James Milner\James-Milner,eng ENG,DFMF,27,31,12,1374,1,4,0,0,3,0,0.07,0.26,0.33,0.07,0.33,Matches
Matija Nastasić\Matija-Nastasic,rs SRB,DF,20,13,11,1029,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Joleon Lescott\Joleon-Lescott,eng ENG,DF,30,10,8,785,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Costel Pantilimon\Costel-Pantilimon,ro ROU,GK,26,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,23,13,2,389,3,1,0,0,1,0,0.69,0.23,0.93,0.69,0.93,Matches
Micah Richards\Micah-Richards,eng ENG,DF,25,2,2,160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jack Rodwell\Jack-Rodwell,eng ENG,DFMF,22,5,1,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dedryck Boyata\Dedryck-Boyata,be BEL,DF,22,1,1,54,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
